Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Peer-to-peer payments,2089199,6918396494,3,2021,puducherry
Recharge & bill payments,741388,356068931.7,3,2021,puducherry
Financial Services,4733,5523949.081,3,2021,puducherry
Others,12410,6808255.35,3,2021,puducherry
Merchant payments,3052713,1864951566,4,2021,puducherry
Peer-to-peer payments,2530821,8113722339,4,2021,puducherry
Recharge & bill payments,762641,428453211.3,4,2021,puducherry
Financial Services,5995,7655925.109,4,2021,puducherry
Others,16640,8868759.435,4,2021,puducherry
Merchant payments,3723135,2199614586,1,2022,puducherry
Peer-to-peer payments,2901199,9407577502,1,2022,puducherry
Recharge & bill payments,715338,460522863.8,1,2022,puducherry
Financial Services,6203,8184455.912,1,2022,puducherry
Others,13301,7575497.515,1,2022,puducherry
Merchant payments,4613049,2693234775,2,2022,puducherry
Peer-to-peer payments,3242208,10537267922,2,2022,puducherry
Recharge & bill payments,773154,535604974.6,2,2022,puducherry
Financial Services,4914,6556452.522,2,2022,puducherry
Others,10362,6081132.497,2,2022,puducherry
Merchant payments,3992974,2322908509,3,2022,puducherry
Peer-to-peer payments,2474932,8058325856,3,2022,puducherry
Recharge & bill payments,564285,463054690.6,3,2022,puducherry
Financial Services,4621,5514275.579,3,2022,puducherry
Others,5915,4514380.573,3,2022,puducherry
Merchant payments,4464977,2534351531,4,2022,puducherry
Peer-to-peer payments,2547018,8141612224,4,2022,puducherry
Recharge & bill payments,531963,453692483.8,4,2022,puducherry
Financial Services,6073,7875178.045,4,2022,puducherry
Others,6096,4673460.483,4,2022,puducherry
Recharge & bill payments,946338,196018621.4,1,2018,punjab
Peer-to-peer payments,690684,2412434634,1,2018,punjab
Merchant payments,87477,83873893.96,1,2018,punjab
Financial Services,60688,11162488.42,1,2018,punjab
Others,85246,77268587.57,1,2018,punjab
Recharge & bill payments,1262450,395417027.8,2,2018,punjab
Peer-to-peer payments,1017159,4036457554,2,2018,punjab
Merchant payments,147667,159406610.3,2,2018,punjab
Financial Services,82256,17719391.41,2,2018,punjab
Others,71631,75671628.77,2,2018,punjab
Peer-to-peer payments,1684209,6173898401,3,2018,punjab
Recharge & bill payments,1381730,622737633.8,3,2018,punjab
Merchant payments,274458,194883994.6,3,2018,punjab
Financial Services,54285,9429174.535,3,2018,punjab
Others,67426,64737840.4,3,2018,punjab
Peer-to-peer payments,2269375,9404088424,4,2018,punjab
Recharge & bill payments,1817964,825449591.2,4,2018,punjab
Merchant payments,648096,455091549.6,4,2018,punjab
Financial Services,62453,11832962.88,4,2018,punjab
Others,89249,85520045.45,4,2018,punjab
Peer-to-peer payments,4026294,12027441596,1,2019,punjab
Recharge & bill payments,2304690,986004867.8,1,2019,punjab
Merchant payments,711152,478382600.6,1,2019,punjab
Financial Services,45621,6871295.955,1,2019,punjab
Others,84380,75789641.76,1,2019,punjab
Peer-to-peer payments,4140474,16258891447,2,2019,punjab
Recharge & bill payments,2815047,1440058991,2,2019,punjab
Merchant payments,1407963,815090878,2,2019,punjab
Financial Services,37435,6876144.455,2,2019,punjab
Others,108911,93875933.52,2,2019,punjab
Peer-to-peer payments,4726946,19146726287,3,2019,punjab
Recharge & bill payments,3455594,2481094965,3,2019,punjab
Merchant payments,2374014,1183743251,3,2019,punjab
Financial Services,32359,7912219.734,3,2019,punjab
Others,117899,86338883.28,3,2019,punjab
Peer-to-peer payments,6386367,25564144630,4,2019,punjab
Recharge & bill payments,4068332,2622222199,4,2019,punjab
Merchant payments,3122413,1741259163,4,2019,punjab
Financial Services,22956,6382345.43,4,2019,punjab
Others,98557,55793908.46,4,2019,punjab
Peer-to-peer payments,6339183,26350005915,1,2020,punjab
Recharge & bill payments,4935115,2767419473,1,2020,punjab
Merchant payments,3838480,2196329615,1,2020,punjab
Financial Services,17924,10987850.96,1,2020,punjab
Others,87082,49442411.67,1,2020,punjab
Recharge & bill payments,6064807,3089758241,2,2020,punjab
Peer-to-peer payments,5639212,25074384847,2,2020,punjab
Merchant payments,2290868,2058898904,2,2020,punjab
Financial Services,23314,23704957.88,2,2020,punjab
Others,63093,37907301.35,2,2020,punjab
Peer-to-peer payments,7354451,32477438924,3,2020,punjab
Recharge & bill payments,5478668,4066750821,3,2020,punjab
Merchant payments,4261548,3490665357,3,2020,punjab
Financial Services,32390,42060249.33,3,2020,punjab
Others,82516,46176796.08,3,2020,punjab
Peer-to-peer payments,9609405,43286909257,4,2020,punjab
Merchant payments,7144295,6142380827,4,2020,punjab
Recharge & bill payments,6072201,4201551870,4,2020,punjab
Financial Services,38820,51677182.32,4,2020,punjab
Others,133204,92887343.34,4,2020,punjab
Peer-to-peer payments,10951083,46908632143,1,2021,punjab
Merchant payments,9333364,7651004599,1,2021,punjab
Recharge & bill payments,6332928,3980874403,1,2021,punjab
Financial Services,43094,52009482.41,1,2021,punjab
Others,110366,98366463.19,1,2021,punjab
Peer-to-peer payments,13180933,55282486111,2,2021,punjab
Merchant payments,11225598,9710508482,2,2021,punjab
Recharge & bill payments,7591039,4370756869,2,2021,punjab
Financial Services,46218,53309051.07,2,2021,punjab
Others,127460,113998049.3,2,2021,punjab
Peer-to-peer payments,17024782,66149902036,3,2021,punjab
Merchant payments,16837685,14103740969,3,2021,punjab
Recharge & bill payments,8465739,5540272095,3,2021,punjab
Financial Services,43789,63576666.59,3,2021,punjab
Others,161494,135069073.8,3,2021,punjab
Merchant payments,22669743,20753662876,4,2021,punjab
Peer-to-peer payments,20663881,83611403637,4,2021,punjab
Recharge & bill payments,8765579,6107473172,4,2021,punjab
Financial Services,58581,86356456.6,4,2021,punjab
Others,201576,151230100.6,4,2021,punjab
Merchant payments,25979197,23217511697,1,2022,punjab
Peer-to-peer payments,22354946,88645204329,1,2022,punjab
Recharge & bill payments,9188439,6317909909,1,2022,punjab
Financial Services,57561,83933665.01,1,2022,punjab
Others,178159,125418507,1,2022,punjab
Merchant payments,35941880,28585688544,2,2022,punjab
Peer-to-peer payments,25952349,1.00938E+11,2,2022,punjab
Recharge & bill payments,10161030,7652499714,2,2022,punjab
Financial Services,50483,57234782.46,2,2022,punjab
Others,167081,111934787.8,2,2022,punjab
Merchant payments,43089589,32370885165,3,2022,punjab
Peer-to-peer payments,29862592,1.07653E+11,3,2022,punjab
Recharge & bill payments,11017816,9119649329,3,2022,punjab
Financial Services,57979,68249938.54,3,2022,punjab
Others,149921,107280498.8,3,2022,punjab
Merchant payments,48358802,38162493193,4,2022,punjab
Peer-to-peer payments,32377106,1.20513E+11,4,2022,punjab
Recharge & bill payments,10895208,9248445986,4,2022,punjab
Financial Services,62809,72160390.23,4,2022,punjab
Others,141255,111559653.6,4,2022,punjab
Recharge & bill payments,4305940,868358581.2,1,2018,rajasthan
Peer-to-peer payments,2540658,7547652853,1,2018,rajasthan
Financial Services,202537,37125466.5,1,2018,rajasthan
Merchant payments,184127,201212697.3,1,2018,rajasthan
Others,358428,271943533.1,1,2018,rajasthan
Recharge & bill payments,5288093,1511007056,2,2018,rajasthan
Peer-to-peer payments,3770555,13341587602,2,2018,rajasthan
Merchant payments,345752,342809667.6,2,2018,rajasthan
Financial Services,279471,52145152.94,2,2018,rajasthan
Others,289826,311536696.7,2,2018,rajasthan
Peer-to-peer payments,7120792,21010614922,3,2018,rajasthan
Recharge & bill payments,5894660,2252031410,3,2018,rajasthan
Merchant payments,711240,445504998,3,2018,rajasthan
Financial Services,230083,30185982.18,3,2018,rajasthan
Others,300323,302431358.9,3,2018,rajasthan
Peer-to-peer payments,10752729,33578327038,4,2018,rajasthan
Recharge & bill payments,7557003,2743591539,4,2018,rajasthan
Merchant payments,1985927,1172254324,4,2018,rajasthan
Financial Services,311632,40412563.01,4,2018,rajasthan
Others,352432,374501619.8,4,2018,rajasthan
Peer-to-peer payments,27621606,55246071722,1,2019,rajasthan
Recharge & bill payments,11650961,3821181817,1,2019,rajasthan
Merchant payments,3921438,1664209335,1,2019,rajasthan
Financial Services,359993,36340412.58,1,2019,rajasthan
Others,402042,373355289.6,1,2019,rajasthan
Peer-to-peer payments,25257679,79466464089,2,2019,rajasthan
Recharge & bill payments,14968290,5709279551,2,2019,rajasthan
Merchant payments,9026751,3435472167,2,2019,rajasthan
Financial Services,182685,34134486.76,2,2019,rajasthan
Others,573881,461962878.5,2,2019,rajasthan
Peer-to-peer payments,29885618,97443950787,3,2019,rajasthan
Merchant payments,19646612,6705923743,3,2019,rajasthan
Recharge & bill payments,16970783,7872719572,3,2019,rajasthan
Financial Services,217029,37899900.33,3,2019,rajasthan
Others,583575,407796030.9,3,2019,rajasthan
Peer-to-peer payments,43354317,1.40449E+11,4,2019,rajasthan
Recharge & bill payments,20604852,9028860435,4,2019,rajasthan
Merchant payments,20544791,9721826538,4,2019,rajasthan
Financial Services,101805,25014672.38,4,2019,rajasthan
Others,468477,227573686.6,4,2019,rajasthan
Peer-to-peer payments,48269912,1.65469E+11,1,2020,rajasthan
Merchant payments,27880848,13643061482,1,2020,rajasthan
Recharge & bill payments,25631131,10961167180,1,2020,rajasthan
Financial Services,72604,34466606.25,1,2020,rajasthan
Others,404317,200968968.7,1,2020,rajasthan
Peer-to-peer payments,49160792,1.66176E+11,2,2020,rajasthan
Recharge & bill payments,31681776,13014051936,2,2020,rajasthan
Merchant payments,20756594,14354151782,2,2020,rajasthan
Financial Services,92875,76662259.21,2,2020,rajasthan
Others,262619,142020149.8,2,2020,rajasthan
Peer-to-peer payments,73247856,2.49007E+11,3,2020,rajasthan
Merchant payments,45149210,27714680562,3,2020,rajasthan
Recharge & bill payments,30148875,16650017441,3,2020,rajasthan
Financial Services,146383,113675141.5,3,2020,rajasthan
Others,396352,193212778.7,3,2020,rajasthan
Peer-to-peer payments,88730951,3.21281E+11,4,2020,rajasthan
Merchant payments,67367264,46142484518,4,2020,rajasthan
Recharge & bill payments,33455755,18123908526,4,2020,rajasthan
Financial Services,169294,136058685.9,4,2020,rajasthan
Others,560171,351480425.6,4,2020,rajasthan
Peer-to-peer payments,116733195,4.0819E+11,1,2021,rajasthan
Merchant payments,96394132,61936457709,1,2021,rajasthan
Recharge & bill payments,38919519,20855464604,1,2021,rajasthan
Financial Services,192936,162581466.9,1,2021,rajasthan
Others,491137,347689722.9,1,2021,rajasthan
Peer-to-peer payments,139277445,4.67784E+11,2,2021,rajasthan
Merchant payments,97860493,69922875807,2,2021,rajasthan
Recharge & bill payments,49501703,23387103756,2,2021,rajasthan
Financial Services,216441,186606893.6,2,2021,rajasthan
Others,620957,422031947.6,2,2021,rajasthan
Peer-to-peer payments,181742972,5.75913E+11,3,2021,rajasthan
Merchant payments,167819345,1.05548E+11,3,2021,rajasthan
Recharge & bill payments,49709657,28335516739,3,2021,rajasthan
Financial Services,197211,190362135.9,3,2021,rajasthan
Others,815568,524328574.3,3,2021,rajasthan
Merchant payments,221774624,1.51968E+11,4,2021,rajasthan
Peer-to-peer payments,212937264,7.18215E+11,4,2021,rajasthan
Recharge & bill payments,51610607,32831163303,4,2021,rajasthan
Financial Services,265091,263180819.7,4,2021,rajasthan
Others,1034011,656777820.8,4,2021,rajasthan
Merchant payments,267467038,1.71182E+11,1,2022,rajasthan
Peer-to-peer payments,241739380,8.14525E+11,1,2022,rajasthan
Recharge & bill payments,54555117,35542881861,1,2022,rajasthan
Financial Services,244029,243340851.7,1,2022,rajasthan
Others,956656,556409604.9,1,2022,rajasthan
Merchant payments,336900860,2.08239E+11,2,2022,rajasthan
Peer-to-peer payments,263380560,9.05641E+11,2,2022,rajasthan
Recharge & bill payments,59879660,38325678034,2,2022,rajasthan
Financial Services,170705,175399371.4,2,2022,rajasthan
Others,838365,452454748.3,2,2022,rajasthan
Merchant payments,398104319,2.3061E+11,3,2022,rajasthan
Peer-to-peer payments,299383118,9.61209E+11,3,2022,rajasthan
Recharge & bill payments,69118763,46000391408,3,2022,rajasthan
Financial Services,215235,220271929.8,3,2022,rajasthan
Others,719925,449514643.6,3,2022,rajasthan
Merchant payments,457778005,2.75195E+11,4,2022,rajasthan
Peer-to-peer payments,334316758,1.13038E+12,4,2022,rajasthan
Recharge & bill payments,72510470,50609988782,4,2022,rajasthan
Financial Services,244442,270658681,4,2022,rajasthan
Others,725173,500361375.7,4,2022,rajasthan
Recharge & bill payments,26965,4823943.542,1,2018,sikkim
Peer-to-peer payments,13559,56334584.63,1,2018,sikkim
Merchant payments,1349,1677583.144,1,2018,sikkim
Financial Services,608,86906.81958,1,2018,sikkim
Others,1597,1727920.802,1,2018,sikkim
Recharge & bill payments,45435,9465769.856,2,2018,sikkim
Peer-to-peer payments,24237,127051984.4,2,2018,sikkim
Merchant payments,2556,4713227.148,2,2018,sikkim
Financial Services,562,218130.13,2,2018,sikkim
Others,1788,2243974.008,2,2018,sikkim
Recharge & bill payments,58421,12221506.19,3,2018,sikkim
Peer-to-peer payments,43195,215547415.5,3,2018,sikkim
Merchant payments,4521,5322296.748,3,2018,sikkim
Financial Services,562,261766.8022,3,2018,sikkim
Others,1801,1727241.758,3,2018,sikkim
Recharge & bill payments,79232,16713780.63,4,2018,sikkim
Peer-to-peer payments,65451,351253329.7,4,2018,sikkim
Merchant payments,7452,12637809.24,4,2018,sikkim
Financial Services,717,596472.7146,4,2018,sikkim
Others,1681,1939965.754,4,2018,sikkim
Peer-to-peer payments,121984,422987999.9,1,2019,sikkim
Recharge & bill payments,96878,20711589.87,1,2019,sikkim
Merchant payments,18346,11837344.85,1,2019,sikkim
Financial Services,1225,191594.2334,1,2019,sikkim
Others,1854,2265105.535,1,2019,sikkim
Peer-to-peer payments,172125,674044301.8,2,2019,sikkim
Recharge & bill payments,142582,32535297.49,2,2019,sikkim
Merchant payments,66722,28248001.03,2,2019,sikkim
Financial Services,2294,310197.5477,2,2019,sikkim
Others,4521,3756445.532,2,2019,sikkim
Peer-to-peer payments,203052,794235862.6,3,2019,sikkim
Merchant payments,188753,52337322.53,3,2019,sikkim
Recharge & bill payments,156125,33922224.89,3,2019,sikkim
Financial Services,288,548142.9,3,2019,sikkim
Others,4218,3672895.49,3,2019,sikkim
Peer-to-peer payments,508471,1086457148,4,2019,sikkim
Recharge & bill payments,181287,42705664.09,4,2019,sikkim
Merchant payments,73992,43954548.8,4,2019,sikkim
Financial Services,373,494076.3451,4,2019,sikkim
Others,2947,2898164.48,4,2019,sikkim
Peer-to-peer payments,230413,954765350.2,1,2020,sikkim
Recharge & bill payments,215586,53588505.84,1,2020,sikkim
Merchant payments,79881,43201695.39,1,2020,sikkim
Financial Services,345,175569.5393,1,2020,sikkim
Others,1893,1745150.991,1,2020,sikkim
Recharge & bill payments,297620,78397187.11,2,2020,sikkim
Peer-to-peer payments,186495,939900165.9,2,2020,sikkim
Merchant payments,31442,34385184.66,2,2020,sikkim
Financial Services,883,999656.0722,2,2020,sikkim
Others,1291,936594.4803,2,2020,sikkim
Recharge & bill payments,298885,83894642.67,3,2020,sikkim
Peer-to-peer payments,245087,1255521153,3,2020,sikkim
Merchant payments,49299,58337178.67,3,2020,sikkim
Financial Services,1252,1795366.733,3,2020,sikkim
Others,1912,1378387.617,3,2020,sikkim
Peer-to-peer payments,334069,1711730127,4,2020,sikkim
Recharge & bill payments,301382,90168624.05,4,2020,sikkim
Merchant payments,95503,112478003.9,4,2020,sikkim
Financial Services,1427,2361187.592,4,2020,sikkim
Others,2654,2537863.028,4,2020,sikkim
Peer-to-peer payments,403703,1965492630,1,2021,sikkim
Recharge & bill payments,279679,93174110.11,1,2021,sikkim
Merchant payments,112925,154183320.1,1,2021,sikkim
Financial Services,1844,3027799.278,1,2021,sikkim
Others,2038,1789867.734,1,2021,sikkim
Peer-to-peer payments,473141,2125758497,2,2021,sikkim
Recharge & bill payments,345495,103846501.5,2,2021,sikkim
Merchant payments,153671,190473176.2,2,2021,sikkim
Financial Services,1865,2851874.287,2,2021,sikkim
Others,2542,1969531.029,2,2021,sikkim
Peer-to-peer payments,595826,2582075089,3,2021,sikkim
Recharge & bill payments,346173,111613776.8,3,2021,sikkim
Merchant payments,213808,290732930.5,3,2021,sikkim
Financial Services,1689,2624558.386,3,2021,sikkim
Others,3098,2290508.817,3,2021,sikkim
Peer-to-peer payments,831597,3548508410,4,2021,sikkim
Recharge & bill payments,376078,136473754.4,4,2021,sikkim
Merchant payments,369343,504586163.6,4,2021,sikkim
Financial Services,2269,3162023.721,4,2021,sikkim
Others,5058,4052910.301,4,2021,sikkim
Peer-to-peer payments,916940,3650961081,1,2022,sikkim
Merchant payments,449273,570784579.7,1,2022,sikkim
Recharge & bill payments,371579,139135962.1,1,2022,sikkim
Financial Services,2124,3062332.164,1,2022,sikkim
Others,4386,3487320.926,1,2022,sikkim
Peer-to-peer payments,1198014,4596501308,2,2022,sikkim
Merchant payments,706658,847497607.1,2,2022,sikkim
Recharge & bill payments,411189,162174479.7,2,2022,sikkim
Financial Services,1758,1861284.797,2,2022,sikkim
Others,4462,3070990.528,2,2022,sikkim
Peer-to-peer payments,1222037,4173703594,3,2022,sikkim
Merchant payments,772650,830361401,3,2022,sikkim
Recharge & bill payments,397207,153567926.3,3,2022,sikkim
Financial Services,1538,2851319.548,3,2022,sikkim
Others,3326,2396303.405,3,2022,sikkim
Peer-to-peer payments,1548662,5175155339,4,2022,sikkim
Merchant payments,1033541,1096220774,4,2022,sikkim
Recharge & bill payments,470639,181281682.3,4,2022,sikkim
Financial Services,2049,2701971.789,4,2022,sikkim
Others,3448,3025622.232,4,2022,sikkim
Recharge & bill payments,3308548,646028338.4,1,2018,tamil-nadu
Peer-to-peer payments,2670613,10031518934,1,2018,tamil-nadu
Merchant payments,326510,272002057.2,1,2018,tamil-nadu
Financial Services,115363,31876073.75,1,2018,tamil-nadu
Others,305588,280132294.1,1,2018,tamil-nadu
Recharge & bill payments,4464677,1189892956,2,2018,tamil-nadu
Peer-to-peer payments,4433762,18067624388,2,2018,tamil-nadu
Merchant payments,627918,517130320.5,2,2018,tamil-nadu
Financial Services,167035,65402385.26,2,2018,tamil-nadu
Others,298736,285794226.6,2,2018,tamil-nadu
Peer-to-peer payments,8810836,26792462660,3,2018,tamil-nadu
Recharge & bill payments,5148411,1521551955,3,2018,tamil-nadu
Merchant payments,1290978,733189649.6,3,2018,tamil-nadu
Financial Services,191732,37049222.37,3,2018,tamil-nadu
Others,332121,245838754,3,2018,tamil-nadu
Peer-to-peer payments,11538547,39180083691,4,2018,tamil-nadu
Recharge & bill payments,7093764,2020329568,4,2018,tamil-nadu
Merchant payments,3145621,1742903221,4,2018,tamil-nadu
Financial Services,228398,46571758.68,4,2018,tamil-nadu
Others,451114,312185737.4,4,2018,tamil-nadu
Peer-to-peer payments,18645926,51296299081,1,2019,tamil-nadu
Recharge & bill payments,8863289,2695317015,1,2019,tamil-nadu
Merchant payments,4195222,1924461189,1,2019,tamil-nadu
Financial Services,193261,31217137.55,1,2019,tamil-nadu
Others,377347,256742393.3,1,2019,tamil-nadu
Peer-to-peer payments,16952961,57924128549,2,2019,tamil-nadu
Recharge & bill payments,8414514,3280033640,2,2019,tamil-nadu
Merchant payments,6296995,2690331793,2,2019,tamil-nadu
Financial Services,70142,18334602.39,2,2019,tamil-nadu
Others,437125,294847441.9,2,2019,tamil-nadu
Peer-to-peer payments,21277636,70615331409,3,2019,tamil-nadu
Merchant payments,10344027,4079315733,3,2019,tamil-nadu
Recharge & bill payments,9246678,3964144354,3,2019,tamil-nadu
Financial Services,88261,27213741.83,3,2019,tamil-nadu
Others,453581,273599406.2,3,2019,tamil-nadu
Peer-to-peer payments,28814008,91858026341,4,2019,tamil-nadu
Merchant payments,16153034,6420193205,4,2019,tamil-nadu
Recharge & bill payments,11157765,4681454398,4,2019,tamil-nadu
Financial Services,60624,24332240.66,4,2019,tamil-nadu
Others,410980,206859328.3,4,2019,tamil-nadu
Peer-to-peer payments,30880360,1.01908E+11,1,2020,tamil-nadu
Merchant payments,21541556,8950736938,1,2020,tamil-nadu
Recharge & bill payments,14134259,5493239430,1,2020,tamil-nadu
Financial Services,61427,41422107.81,1,2020,tamil-nadu
Others,335871,176604658.4,1,2020,tamil-nadu
Peer-to-peer payments,21700844,82347647064,2,2020,tamil-nadu
Recharge & bill payments,18474731,6414781159,2,2020,tamil-nadu
Merchant payments,11477546,6909361872,2,2020,tamil-nadu
Financial Services,78584,89189349.85,2,2020,tamil-nadu
Others,138405,65529451.74,2,2020,tamil-nadu
Peer-to-peer payments,31754077,1.23561E+11,3,2020,tamil-nadu
Merchant payments,20664887,12554589576,3,2020,tamil-nadu
Recharge & bill payments,17521756,7476952307,3,2020,tamil-nadu
Financial Services,129671,158512062.5,3,2020,tamil-nadu
Others,207434,90281020.16,3,2020,tamil-nadu
Peer-to-peer payments,47800741,1.72196E+11,4,2020,tamil-nadu
Merchant payments,41297305,24417758782,4,2020,tamil-nadu
Recharge & bill payments,21563946,9462546013,4,2020,tamil-nadu
Financial Services,153044,186775413.1,4,2020,tamil-nadu
Others,364665,209735503.5,4,2020,tamil-nadu
Peer-to-peer payments,57446279,2.06405E+11,1,2021,tamil-nadu
Merchant payments,53811885,30722779535,1,2021,tamil-nadu
Recharge & bill payments,24826273,11115915389,1,2021,tamil-nadu
Financial Services,170620,215319360.5,1,2021,tamil-nadu
Others,301617,208899281.9,1,2021,tamil-nadu
Peer-to-peer payments,60812902,2.16379E+11,2,2021,tamil-nadu
Merchant payments,52048347,33504798113,2,2021,tamil-nadu
Recharge & bill payments,32753032,13155346942,2,2021,tamil-nadu
Financial Services,192614,225113402.7,2,2021,tamil-nadu
Others,351547,223054882.4,2,2021,tamil-nadu
Merchant payments,85074941,52932187059,3,2021,tamil-nadu
Peer-to-peer payments,83833356,2.96121E+11,3,2021,tamil-nadu
Recharge & bill payments,34751691,15613287082,3,2021,tamil-nadu
Financial Services,182097,246146707.3,3,2021,tamil-nadu
Others,515319,294622911.6,3,2021,tamil-nadu
Merchant payments,117578360,70539086832,4,2021,tamil-nadu
Peer-to-peer payments,104493071,3.53529E+11,4,2021,tamil-nadu
Recharge & bill payments,36163870,18979178478,4,2021,tamil-nadu
Financial Services,228761,275850497.1,4,2021,tamil-nadu
Others,691914,400412189.8,4,2021,tamil-nadu
Merchant payments,139788772,81798208976,1,2022,tamil-nadu
Peer-to-peer payments,119383791,4.09632E+11,1,2022,tamil-nadu
Recharge & bill payments,34579431,20705079141,1,2022,tamil-nadu
Financial Services,241201,298216135.4,1,2022,tamil-nadu
Others,579955,355987089.8,1,2022,tamil-nadu
Merchant payments,179245529,1.00813E+11,2,2022,tamil-nadu
Peer-to-peer payments,136341691,4.64333E+11,2,2022,tamil-nadu
Recharge & bill payments,38257271,24477663684,2,2022,tamil-nadu
Financial Services,202498,233054909,2,2022,tamil-nadu
Others,459948,277767177,2,2022,tamil-nadu
Merchant payments,202149276,1.09801E+11,3,2022,tamil-nadu
Peer-to-peer payments,148805657,4.9388E+11,3,2022,tamil-nadu
Recharge & bill payments,41919063,27694221703,3,2022,tamil-nadu
Financial Services,217741,238069828.2,3,2022,tamil-nadu
Others,404438,265434770.8,3,2022,tamil-nadu
Merchant payments,229308285,1.18848E+11,4,2022,tamil-nadu
Peer-to-peer payments,162920305,5.26511E+11,4,2022,tamil-nadu
Recharge & bill payments,43391904,29719449171,4,2022,tamil-nadu
Financial Services,295740,334812023.6,4,2022,tamil-nadu
Others,400402,275988847.1,4,2022,tamil-nadu
Recharge & bill payments,4209319,831912767.6,1,2018,telangana
Peer-to-peer payments,3307245,11748268951,1,2018,telangana
Merchant payments,351474,282899066.6,1,2018,telangana
Financial Services,262876,57011875.36,1,2018,telangana
Others,391852,388111458.2,1,2018,telangana
Peer-to-peer payments,4784079,20748520743,2,2018,telangana
Recharge & bill payments,4686542,1274130054,2,2018,telangana
Merchant payments,701082,551696487.3,2,2018,telangana
Financial Services,277805,85498213.25,2,2018,telangana
Others,315162,357356020.7,2,2018,telangana
Peer-to-peer payments,11560952,29253505739,3,2018,telangana
Recharge & bill payments,5328881,1568136061,3,2018,telangana
Merchant payments,1770075,855534175.5,3,2018,telangana
Financial Services,307312,52554123.97,3,2018,telangana
Others,365483,300363110.8,3,2018,telangana
Peer-to-peer payments,15571288,44541667502,4,2018,telangana
Recharge & bill payments,7121135,2165870863,4,2018,telangana
Merchant payments,5315161,2356841305,4,2018,telangana
Financial Services,392423,64569231.24,4,2018,telangana
Others,521147,380139546.9,4,2018,telangana
Peer-to-peer payments,40488967,87361237975,1,2019,telangana
Merchant payments,12341901,4144368546,1,2019,telangana
Recharge & bill payments,11525394,3619117615,1,2019,telangana
Financial Services,463688,54547989.28,1,2019,telangana
Others,470752,343989909.9,1,2019,telangana
Peer-to-peer payments,46741594,1.41096E+11,2,2019,telangana
Merchant payments,25682382,8442740781,2,2019,telangana
Recharge & bill payments,16225017,5603477829,2,2019,telangana
Financial Services,252173,43627344.86,2,2019,telangana
Others,709213,490894328.4,2,2019,telangana
Peer-to-peer payments,59981113,1.80343E+11,3,2019,telangana
Merchant payments,44035953,14308557741,3,2019,telangana
Recharge & bill payments,16437222,6793699069,3,2019,telangana
Financial Services,183163,39617186.74,3,2019,telangana
Others,857925,445278745.4,3,2019,telangana
Peer-to-peer payments,82587060,2.49347E+11,4,2019,telangana
Merchant payments,59347809,21510626607,4,2019,telangana
Recharge & bill payments,20797056,9561315125,4,2019,telangana
Financial Services,137291,33453857.4,4,2019,telangana
Others,703042,294688962.7,4,2019,telangana
Peer-to-peer payments,95668911,3.27642E+11,1,2020,telangana
Merchant payments,76818285,31076431478,1,2020,telangana
Recharge & bill payments,26324268,12324266105,1,2020,telangana
Financial Services,88184,59500639.39,1,2020,telangana
Others,509877,241784101.5,1,2020,telangana
Peer-to-peer payments,76683293,2.79479E+11,2,2020,telangana
Merchant payments,44181999,26712043205,2,2020,telangana
Recharge & bill payments,30885875,15106945864,2,2020,telangana
Financial Services,116776,134169906.7,2,2020,telangana
Others,187200,100126467.2,2,2020,telangana
Peer-to-peer payments,116668399,4.37459E+11,3,2020,telangana
Merchant payments,86836471,49743225885,3,2020,telangana
Recharge & bill payments,32352860,18378477088,3,2020,telangana
Financial Services,195857,223377023.5,3,2020,telangana
Others,318539,156875854.6,3,2020,telangana
Peer-to-peer payments,160607487,5.91977E+11,4,2020,telangana
Merchant payments,143897953,81725950703,4,2020,telangana
Recharge & bill payments,38174710,22006183349,4,2020,telangana
Financial Services,230134,275357720,4,2020,telangana
Others,733503,366346176.4,4,2020,telangana
Merchant payments,185230619,95927278281,1,2021,telangana
Peer-to-peer payments,179738195,6.76276E+11,1,2021,telangana
Recharge & bill payments,46371555,26447601339,1,2021,telangana
Financial Services,262473,320153410.2,1,2021,telangana
Others,969268,387877900.5,1,2021,telangana
Peer-to-peer payments,230861833,8.72152E+11,2,2021,telangana
Merchant payments,205232899,1.23208E+11,2,2021,telangana
Recharge & bill payments,58637866,31877277168,2,2021,telangana
Financial Services,278546,300569264.1,2,2021,telangana
Others,856400,420723415.9,2,2021,telangana
Merchant payments,286735350,1.59227E+11,3,2021,telangana
Peer-to-peer payments,271436926,9.81755E+11,3,2021,telangana
Recharge & bill payments,62744121,36434881136,3,2021,telangana
Financial Services,235519,329138539.5,3,2021,telangana
Others,1734852,543116826.3,3,2021,telangana
Merchant payments,376584215,2.12975E+11,4,2021,telangana
Peer-to-peer payments,331774591,1.20499E+12,4,2021,telangana
Recharge & bill payments,66477036,44760398983,4,2021,telangana
Financial Services,298871,392141743.7,4,2021,telangana
Others,855060,639658842.9,4,2021,telangana
Merchant payments,449186799,2.43842E+11,1,2022,telangana
Peer-to-peer payments,368048408,1.37529E+12,1,2022,telangana
Recharge & bill payments,66352138,50470450180,1,2022,telangana
Financial Services,284035,394283511.9,1,2022,telangana
Others,2582005,642005688.8,1,2022,telangana
Merchant payments,565370506,3.07468E+11,2,2022,telangana
