Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Recharge & bill payments,450649,142358376.9,1,2021,arunachal-pradesh
Merchant payments,155966,204958020.1,1,2021,arunachal-pradesh
Financial Services,1558,2672460.474,1,2021,arunachal-pradesh
Others,3074,3301662.609,1,2021,arunachal-pradesh
Peer-to-peer payments,762946,4000960152,2,2021,arunachal-pradesh
Recharge & bill payments,556680,165579844.3,2,2021,arunachal-pradesh
Merchant payments,243375,283709438.5,2,2021,arunachal-pradesh
Financial Services,1582,2761076.793,2,2021,arunachal-pradesh
Others,3755,3415105.338,2,2021,arunachal-pradesh
Peer-to-peer payments,986088,5033603845,3,2021,arunachal-pradesh
Recharge & bill payments,600102,187390578.3,3,2021,arunachal-pradesh
Merchant payments,314658,449869060.8,3,2021,arunachal-pradesh
Financial Services,1934,3348547.827,3,2021,arunachal-pradesh
Others,4185,3912143.35,3,2021,arunachal-pradesh
Peer-to-peer payments,1227616,6022733378,4,2021,arunachal-pradesh
Recharge & bill payments,633248,207784816.3,4,2021,arunachal-pradesh
Merchant payments,521447,704195695,4,2021,arunachal-pradesh
Financial Services,2386,3933557.28,4,2021,arunachal-pradesh
Others,5901,4862905.886,4,2021,arunachal-pradesh
Peer-to-peer payments,1403584,6670641250,1,2022,arunachal-pradesh
Merchant payments,720803,917155358.7,1,2022,arunachal-pradesh
Recharge & bill payments,670576,231933129,1,2022,arunachal-pradesh
Financial Services,3053,3359625.793,1,2022,arunachal-pradesh
Others,6052,5002264.113,1,2022,arunachal-pradesh
Peer-to-peer payments,1751568,7627061475,2,2022,arunachal-pradesh
Merchant payments,1108353,1255513517,2,2022,arunachal-pradesh
Recharge & bill payments,688770,241162643.2,2,2022,arunachal-pradesh
Financial Services,2466,4063469.1,2,2022,arunachal-pradesh
Others,5768,3864269.88,2,2022,arunachal-pradesh
Peer-to-peer payments,1967086,7365427284,3,2022,arunachal-pradesh
Merchant payments,1316326,1413247143,3,2022,arunachal-pradesh
Recharge & bill payments,649322,238448083.8,3,2022,arunachal-pradesh
Financial Services,1997,4763324.776,3,2022,arunachal-pradesh
Others,4687,3224948.702,3,2022,arunachal-pradesh
Peer-to-peer payments,2251135,7768088688,4,2022,arunachal-pradesh
Merchant payments,1704968,1669602213,4,2022,arunachal-pradesh
Recharge & bill payments,669151,239412553.6,4,2022,arunachal-pradesh
Financial Services,2617,3785469.399,4,2022,arunachal-pradesh
Others,4838,4020773.895,4,2022,arunachal-pradesh
Recharge & bill payments,632092,93491181.14,1,2018,assam
Peer-to-peer payments,318025,993525196,1,2018,assam
Merchant payments,40482,34501622.89,1,2018,assam
Financial Services,18172,4936862.201,1,2018,assam
Others,48110,31349594,1,2018,assam
Recharge & bill payments,984160,174427478.2,2,2018,assam
Peer-to-peer payments,530781,2064314053,2,2018,assam
Merchant payments,79307,73366344.81,2,2018,assam
Financial Services,22773,7051504.658,2,2018,assam
Others,46852,31425754.73,2,2018,assam
Recharge & bill payments,1275136,254569069.3,3,2018,assam
Peer-to-peer payments,843571,3424136710,3,2018,assam
Merchant payments,159532,96783839.37,3,2018,assam
Financial Services,22677,4741123.822,3,2018,assam
Others,50935,30904247.88,3,2018,assam
Recharge & bill payments,1703488,317661277.3,4,2018,assam
Peer-to-peer payments,1279089,5284776455,4,2018,assam
Merchant payments,667293,240563395.3,4,2018,assam
Financial Services,28035,6331912.527,4,2018,assam
Others,56267,38689818.79,4,2018,assam
Recharge & bill payments,1993220,400281677.9,1,2019,assam
Peer-to-peer payments,1976310,7291433301,1,2019,assam
Merchant payments,494871,266644645.7,1,2019,assam
Financial Services,20162,4612454.113,1,2019,assam
Others,48442,39127457.94,1,2019,assam
Recharge & bill payments,2512932,539315772.9,2,2019,assam
Peer-to-peer payments,2293770,10035232821,2,2019,assam
Merchant payments,573646,326844709.6,2,2019,assam
Financial Services,13654,4037222.414,2,2019,assam
Others,60927,49538663.41,2,2019,assam
Peer-to-peer payments,2713539,11835800855,3,2019,assam
Recharge & bill payments,2645302,639885372.7,3,2019,assam
Merchant payments,513728,421380275.4,3,2019,assam
Financial Services,8606,6403456.345,3,2019,assam
Others,61396,46973660.74,3,2019,assam
Peer-to-peer payments,3222143,14083346879,4,2019,assam
Recharge & bill payments,2937800,704118874,4,2019,assam
Merchant payments,544053,456318130.1,4,2019,assam
Financial Services,9621,3492255.086,4,2019,assam
Others,46893,34707757.01,4,2019,assam
Peer-to-peer payments,4058740,18977446152,1,2020,assam
Recharge & bill payments,3897975,971722606.2,1,2020,assam
Merchant payments,792646,675423853,1,2020,assam
Financial Services,10173,7054325.508,1,2020,assam
Others,49326,36781411.34,1,2020,assam
Recharge & bill payments,6045321,1612522829,2,2020,assam
Peer-to-peer payments,3648386,17358374071,2,2020,assam
Merchant payments,742400,749018053.2,2,2020,assam
Financial Services,19814,18130004.69,2,2020,assam
Others,49278,28255168.01,2,2020,assam
Peer-to-peer payments,5637893,26646565777,3,2020,assam
Recharge & bill payments,5292154,1627282416,3,2020,assam
Merchant payments,1383230,1492484153,3,2020,assam
Financial Services,24954,28452966.03,3,2020,assam
Others,59480,36605946.75,3,2020,assam
Peer-to-peer payments,7538478,36013292451,4,2020,assam
